year_team,po_year,team_full,mean_age,mean_height,mean_weight,PtsSeason,OppPtsSeason,PtsDiff,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,playoffs
1999_Chicago Bulls,1999,Chicago Bulls,28.066666666666666,200.32133333333334,101.03005813333333,81.9,91.4,-9.5,39.3,20.3,8.7,3.4,14.6,22.2,27.9,11.5,False
1999_Cleveland Cavaliers,1999,Cleveland Cavaliers,26.9375,198.91375,97.011989,86.4,88.2,-1.7999999999999972,35.8,21.9,9.0,4.1,14.8,24.2,26.3,9.4,False
1999_Dallas Mavericks,1999,Dallas Mavericks,26.642857142857142,204.47,101.41021142857143,91.6,94.0,-2.4000000000000057,42.5,18.4,7.0,5.8,13.0,21.3,29.6,12.9,False
1999_Denver Nuggets,1999,Denver Nuggets,25.25,198.91375,97.3805325,93.5,100.1,-6.599999999999994,40.8,19.4,7.5,5.5,14.3,22.9,27.8,12.9,False
1999_Detroit Pistons,1999,Detroit Pistons,27.470588235294116,200.06235294117647,99.9236494117647,90.4,86.9,3.5,39.9,20.0,8.7,4.0,14.5,22.8,27.9,12.0,True
1999_Golden State Warriors,1999,Golden State Warriors,29.0,198.90153846153848,100.13915692307691,88.3,90.8,-2.5,47.5,20.7,8.3,4.4,14.6,25.4,31.2,16.3,False
1999_Houston Rockets,1999,Houston Rockets,30.133333333333333,200.49066666666667,102.72346826666667,94.2,91.9,2.299999999999997,41.8,21.1,7.7,5.2,15.2,19.7,30.9,10.9,True
1999_Indiana Pacers,1999,Indiana Pacers,29.357142857142858,203.01857142857145,100.11423428571428,94.7,90.9,3.799999999999997,40.7,20.2,6.4,4.6,12.8,22.5,29.2,11.5,True
1999_Los Angeles Clippers,1999,Los Angeles Clippers,26.266666666666666,200.32133333333334,101.54412906666667,90.4,99.2,-8.799999999999997,39.2,16.4,8.5,4.7,15.2,24.5,25.9,13.3,False
1999_Los Angeles Lakers,1999,Los Angeles Lakers,27.642857142857142,200.84142857142857,103.74297028571428,99.0,96.0,3.0,41.8,21.6,7.6,5.8,14.6,24.7,29.4,12.3,True
1999_Miami Heat,1999,Miami Heat,29.764705882352942,200.95882352941177,100.35055952941177,89.0,84.0,5.0,39.9,20.0,6.6,5.9,13.9,20.7,30.0,9.9,True
1999_Milwaukee Bucks,1999,Milwaukee Bucks,28.866666666666667,199.9826666666667,100.12287413333334,91.7,90.0,1.7000000000000028,38.7,20.6,8.8,4.1,14.0,23.3,27.4,11.4,True
1999_Minnesota Timberwolves,1999,Minnesota Timberwolves,27.647058823529413,201.4070588235294,98.88305600000001,92.9,92.6,0.30000000000001137,43.0,23.9,8.4,5.5,12.7,23.7,27.9,15.0,True
1999_New Jersey Nets,1999,New Jersey Nets,27.176470588235293,202.30352941176469,101.41783482352942,91.4,95.2,-3.799999999999997,43.0,18.5,9.8,5.5,14.2,22.7,28.7,14.3,False
1999_New York Knicks,1999,New York Knicks,30.384615384615383,201.44153846153847,99.68556492307692,86.4,85.4,1.0,40.7,18.0,7.8,4.9,14.7,23.6,29.9,10.8,True
1999_Orlando Magic,1999,Orlando Magic,29.625,200.9775,101.5762585,89.5,86.9,2.5999999999999943,42.4,21.2,9.8,4.2,16.1,19.1,28.6,13.8,True
