season,team_abbreviation,age,player_height,player_weight
1996-97,ATL,27.529411764705884,203.79764705882351,103.0987934117647
1996-97,BOS,27.647058823529413,200.5105882352941,98.10928141176471
1996-97,CHH,30.23076923076923,198.70615384615382,99.7553483076923
1996-97,CHI,30.666666666666668,203.36933333333334,105.233344
1996-97,CLE,26.615384615384617,199.87846153846155,100.97655753846153
1996-97,DAL,26.941176470588236,202.00470588235294,100.00369505882354
1996-97,DEN,27.352941176470587,197.07411764705884,94.48054541176471
1996-97,DET,27.857142857142858,199.57142857142858,100.17903314285715
1996-97,GSW,26.285714285714285,199.75285714285715,97.74907599999999
1996-97,HOU,30.647058823529413,199.31529411764706,98.37610023529412
1996-97,IND,28.0,202.01466666666664,98.883056
1996-97,LAC,26.733333333333334,202.35333333333335,103.6004128
1996-97,LAL,27.071428571428573,202.83714285714285,102.70618857142857
1996-97,MIA,27.647058823529413,201.10823529411766,99.92364941176471
1996-97,MIL,28.266666666666666,202.52266666666668,104.26568106666667
1996-97,MIN,27.384615384615383,199.87846153846155,97.52228
1996-97,NJN,28.764705882352942,203.07058823529414,103.27483247058824
1996-97,NYK,29.76923076923077,200.07384615384615,99.19708123076923
1996-97,ORL,28.714285714285715,202.11142857142858,103.06258228571429
1996-97,PHI,26.733333333333334,199.64399999999998,100.57646613333333
1996-97,PHX,27.8125,200.9775,102.398394
1996-97,POR,26.625,199.7075,98.5145125
1996-97,SAC,27.714285714285715,199.20857142857145,97.16588628571428
1996-97,SAS,29.4375,201.77125,102.171598
1996-97,SEA,29.6875,202.08875,100.867521
1996-97,TOR,27.65,201.29500000000002,99.8809584
1996-97,UTA,28.833333333333332,201.71833333333333,102.88978533333334
1996-97,VAN,25.933333333333334,200.15200000000002,100.00191626666667
1996-97,WAS,26.5,201.56714285714287,101.11861657142857
1997-98,ATL,28.25,199.23125,99.166551
1997-98,BOS,25.857142857142858,200.29714285714286,95.027524
1997-98,CHH,29.733333333333334,200.82933333333332,101.75580533333333
1997-98,CHI,30.6,201.33733333333333,103.6911312
1997-98,CLE,26.375,199.23125,96.7568435
1997-98,DAL,26.25,201.93,101.5195595
1997-98,DEN,26.4,199.64399999999998,100.63694506666667
1997-98,DET,27.785714285714285,201.56714285714287,103.06258228571429
1997-98,GSW,27.0625,198.12,99.960337
1997-98,HOU,31.642857142857142,200.8414285714286,100.40582914285714
1997-98,IND,28.857142857142858,203.20000000000002,99.336648
1997-98,LAC,26.285714285714285,200.84142857142857,100.37342971428572
1997-98,LAL,25.76923076923077,201.6369230769231,104.2912683076923
1997-98,MIA,28.375,201.13625,100.017036
1997-98,MIL,28.3125,197.96125,100.810822
1997-98,MIN,27.6875,199.86625,98.032571
1997-98,NJN,28.875,202.72375,101.5195595
1997-98,NYK,31.875,200.9775,99.76189049999999
1997-98,ORL,30.375,197.32625,96.0197565
1997-98,PHI,26.875,202.08875,100.2721815
1997-98,PHX,28.46153846153846,201.24615384615385,102.40711692307693
1997-98,POR,27.647058823529413,202.30352941176469,100.697424
1997-98,SAC,26.866666666666667,201.676,99.39712693333333
1997-98,SAS,29.357142857142858,202.29285714285714,100.43822857142857
1997-98,SEA,30.133333333333333,201.50666666666666,100.5159872
1997-98,TOR,25.894736842105264,201.4621052631579,105.06623115789473
1997-98,UTA,28.923076923076923,198.90153846153845,99.86002338461539
1997-98,VAN,27.153846153846153,199.48769230769233,100.03448184615384
1997-98,WAS,27.1875,198.59625,96.898591
1998-99,ATL,28.5,199.57142857142858,100.470628
1998-99,BOS,25.733333333333334,200.82933333333332,100.09263466666667
1998-99,CHH,29.4,201.676,100.63694506666667
1998-99,CHI,28.066666666666666,200.32133333333334,101.03005813333333
1998-99,CLE,26.9375,198.91375,97.011989
1998-99,DAL,26.642857142857142,204.47,101.41021142857143
1998-99,DEN,25.25,198.91375,97.3805325
1998-99,DET,27.470588235294116,200.06235294117647,99.9236494117647
1998-99,GSW,29.0,198.90153846153848,100.13915692307691
1998-99,HOU,30.133333333333333,200.49066666666667,102.72346826666667
1998-99,IND,29.357142857142858,203.01857142857145,100.11423428571428
1998-99,LAC,26.266666666666666,200.32133333333334,101.54412906666667
1998-99,LAL,27.642857142857142,200.84142857142857,103.74297028571428
1998-99,MIA,29.764705882352942,200.95882352941177,100.35055952941177
1998-99,MIL,28.866666666666667,199.9826666666667,100.12287413333334
1998-99,MIN,27.647058823529413,201.4070588235294,98.88305600000001
1998-99,NJN,27.176470588235293,202.30352941176469,101.41783482352942
1998-99,NYK,30.384615384615383,201.44153846153847,99.68556492307692
1998-99,ORL,29.625,200.9775,101.5762585
1998-99,PHI,27.375,202.40625,102.284996
1998-99,PHX,28.058823529411764,200.66,102.45842823529412
1998-99,POR,27.8,201.168,99.4273664
1998-99,SAC,26.357142857142858,202.29285714285714,108.53808571428571
1998-99,SAS,30.071428571428573,200.66000000000003,99.43384628571428
1998-99,SEA,28.0625,201.93,98.9114055
1998-99,TOR,27.466666666666665,199.47466666666665,97.975872
1998-99,UTA,29.714285714285715,201.56714285714287,101.66940685714285
1998-99,VAN,26.133333333333333,199.64399999999998,98.58066133333334
1998-99,WAS,27.933333333333334,201.168,101.9674816
1999-00,ATL,26.692307692307693,201.24615384615385,100.66253230769232
1999-00,BOS,26.642857142857142,198.8457142857143,98.68865942857143
1999-00,CHH,27.941176470588236,199.7635294117647,99.87028564705882
1999-00,CHI,27.294117647058822,196.92470588235295,97.30882494117647
1999-00,CLE,27.166666666666668,199.67222222222222,100.52102711111111
1999-00,DAL,26.823529411764707,202.15411764705883,99.6034668235294
